TimeStamp,Select enzymes Step,AMSA Wash Step
2018-09-25 19:05,'',11.295
2018-09-25 19:21,5.614,''
2018-09-25 19:21,'',10.705
2018-09-25 19:36,5.232,''
2018-09-25 19:36,'',10.688
2018-09-25 19:52,5.298,''
2018-09-25 19:52,'',10.774
2018-09-25 20:07,5.164,''
2018-09-25 20:07,'',10.282
2018-09-25 20:23,5.134,''
2018-09-25 20:23,'',10.826
2018-09-25 20:38,5.413,''
2018-09-25 20:38,'',11.633
2018-09-25 20:54,5.163,''
2018-09-25 20:54,'',10.294
2018-09-25 21:09,5.185,''
2018-09-25 21:09,'',12.097
2018-09-25 21:25,5.356,''
2018-09-25 21:25,'',10.969
2018-09-25 21:40,5.239,''
2018-09-25 21:40,'',10.684
2018-09-25 21:56,5.198,''
2018-09-25 21:56,'',10.625
2018-09-25 22:11,6.044,''
2018-09-25 22:11,'',12.125
TimeStamp,Select enzymes Step,AMSA Wash Step
2018-09-26 16:37,5.883,''
2018-09-26 16:37,'',11.34
2018-09-26 16:53,5.461,''
2018-09-26 16:53,'',10.509
2018-09-26 17:08,5.447,''
2018-09-26 17:08,'',10.806
2018-09-26 17:24,5.359,''
2018-09-26 17:24,'',11.28
2018-09-26 17:39,5.385,''
2018-09-26 17:39,'',10.73
2018-09-26 17:55,5.678,''
2018-09-26 17:55,'',10.954
2018-09-26 18:10,5.382,''
2018-09-26 18:10,'',11.241
2018-09-26 18:26,5.426,''
2018-09-26 18:26,'',11.511
2018-09-26 18:41,5.319,''
2018-09-26 18:41,'',10.929
2018-09-26 18:57,5.399,''
2018-09-26 18:57,'',11.186
2018-09-26 19:12,5.636,''
2018-09-26 19:12,'',11.208
2018-09-26 19:28,5.343,''
2018-09-26 19:28,'',10.705
2018-09-26 19:43,5.533,''
2018-09-26 19:43,'',10.746
2018-09-26 19:59,5.326,''
2018-09-26 19:59,'',10.931
2018-09-26 20:14,5.384,''
2018-09-26 20:14,'',11.12
2018-09-26 20:30,5.238,''
2018-09-26 20:30,'',10.561
2018-09-26 20:45,5.529,''
2018-09-26 20:45,'',10.798
2018-09-26 21:01,5.448,''
2018-09-26 21:01,'',10.86
2018-09-26 21:16,5.307,''
